id;eid;eanCode;indexCatalogue;name;additionalName;description;basePriceNet;priceNet;basePrice;price;vatCode;vatRate;currency;category;producer;weight;availabilityCount;promotionInfo;imageUrls;Stan;Rodzaj bieżnika;Konstrukcja opony;Typ;Indeks nośności;Ilość płócien;Zastosowanie;Rozmiar opony;Stan opony;Średnica felgi;Indeks handlowy;Indeks katalogowy;Indeks producenta
3517;5310;;8006532BKTt;Opona 800/65R32 BKT Agrimax Teris;178A8/175B TL (30.5R32);;8690.00;7730.00;10688.70;9507.90;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;2.0000;;https://static.abstore.pl/img/grasdorf/b1d71ad0-15dd-426c-9b82-4091e54ed839/l/opona-800%252F65r32-bkt-agrimax-teris.jpg;nowa;Agrimax Teris;Radialna;Bezdętkowa (TL);178A8/175B (7500 kg przy 40 km/h);;Opona rolnicza;30.5 (800/65);;32;30532BKTt;8006532BKTt;
3299;4896;8903635028208;3807024Aaii;Opona 380/70R24 Alliance AGRISTAR II 70;125D TL;;1330.00;1330.00;1635.90;1635.90;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Alliance;Alliance;;2.0000;;https://static.abstore.pl/img/grasdorf/34fbfd9a-4dec-406b-a67a-8a40af3356b1/l/opona-380%252F70r24-alliance-agristar-ii-70.jpg;nowa;AGRISTAR II 70;Radialna;Bezdętkowa (TL);125D (1650 kg przy 65 km/h);;Opona rolnicza;380/70;;24;;3807024Aaii;
3321;4918;8903635028703;3408524Aaii;Opona 340/85R24 Alliance AGRISTAR II 85;125D TL (13.6R24);;1210.00;1210.00;1488.30;1488.30;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Alliance;Alliance;;3.0000;;https://static.abstore.pl/img/grasdorf/7094c4c6-ccc2-4cf1-a5a2-48418a2c1577/l/opona-340%252F85r24-alliance-agristar-ii-85.jpg;nowa;AGRISTAR II 85;Radialna;Bezdętkowa (TL);125D (1650 kg przy 65 km/h);;Opona rolnicza;13.6 (340/85, 340/90);;24;13624Aaii;3408524Aaii;
3774;5785;;7106038Mdemo;Opona VF710/60R38 Michelin XEOBIB demo;DOT5020 160D TL;;14230.00;10560.00;17502.90;12988.80;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Michelin;Michelin;;2.0000;;https://static.abstore.pl/img/grasdorf/7d187ac8-05cb-4aa4-b5f6-9eb5734bb8af/l/opona-vf710%252F60r38-michelin-xeobib-demo.jpg,https://static.abstore.pl/img/grasdorf/114ac268-18e1-4b29-adc3-528585cdb253/l/opona-vf710%252F60r38-michelin-xeobib-demo.jpg,https://static.abstore.pl/img/grasdorf/44f23ad4-751e-4439-8bcc-6b54f5f7747e/l/opona-vf710%252F60r38-michelin-xeobib-demo.jpg,https://static.abstore.pl/img/grasdorf/0840e183-c9bf-460c-9419-99caee9aa90a/l/opona-vf710%252F60r38-michelin-xeobib-demo.jpg,https://static.abstore.pl/img/grasdorf/fa0020c8-eb53-4878-a248-9456398723d1/l/opona-vf710%252F60r38-michelin-xeobib-demo.jpg,https://static.abstore.pl/img/grasdorf/9290bcfb-8787-4ba7-8261-8181cf8357a3/l/opona-vf710%252F60r38-michelin-xeobib-demo.jpg,https://static.abstore.pl/img/grasdorf/e0672822-5582-499f-bf8d-4837e75a928b/l/opona-vf710%252F60r38-michelin-xeobib-demo.jpg;pokazowa (DOT 2020);Xeobib;Radialna;Bezdętkowa (TL);160D (4500 kg przy 65 km/h);;Opona rolnicza;710/60;;38;2549;7106038Mdemo;
2879;4282;8903094027422;10075153BKTAS18TL;Opona 10.0/75-15.3 BKT AS 504 18PR TL;;;470.00;470.00;578.10;578.10;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;2.0000;;https://static.abstore.pl/img/grasdorf/20f71f44-2b5e-4014-8dcd-23685231bb23/l/opona-10-0%252F75-15-3-bkt-as-504-18pr-tl.jpg;nowa;AS 504;Diagonalna;Bezdętkowa (TL);;18 PR;Opona rolnicza;10.0/75;;15.3;1075153;10075153BKTAS18TL;
3706;5600;3528700077605;3809046Mscfo;Opona VF380/90R46 Michelin SPRAYBIB CFO;173D/169E TL (14.9R46);;10050.00;9510.00;12361.50;11697.30;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Michelin;Michelin;;2.0000;;https://static.abstore.pl/img/grasdorf/0e3e3505-6277-485b-917b-46fe36bd23fd/l/opona-vf380%252F90r46-michelin-spraybib-cfo.jpg;nowa;Spraybib CFO;Radialna;Bezdętkowa (TL);173D/169E (6500 kg przy 65 km/h);;Opona rolnicza;14.9 (380/85, 380/90, 400/80);;46;14946Mscfo;3809046Mscfo;
3520;4650;8059971017076;23105012TR;Opona 23x10.50-12 Trelleborg T463 10PR;TL;;600.00;600.00;738.00;738.00;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Trelleborg;Trelleborg;;5.0000;;https://static.abstore.pl/img/grasdorf/c608e312-09a9-481f-8e78-dbaf34ba8e89/l/opona-23x10-50-12-trelleborg-t463-10pr.jpg;nowa;T539 Soft Grip;Diagonalna;Bezdętkowa (TL);;10 PR;Opona rolnicza;23x10.50;;12;2310512TR;23105012TR;
3396;5017;3528700578669;d3206518;Dętka Kleber 18" 340/65 12.0 TR15;(320/65R18, 340/65R18, 12.0-18) 57866;;136.00;136.00;167.28;167.28;23;23.00;PLN;Dętki;Kleber;;2.0000;;https://static.abstore.pl/img/grasdorf/8b070598-c1fa-4171-a2ef-b4a344ea89a9/l/detka-kleber-18-340%252F65-12-0-tr15.png,https://static.abstore.pl/img/grasdorf/b9859a1e-ce71-4aa4-9987-d956ae48354b/l/detka-kleber-18-340%252F65-12-0-tr15.jpg;nowa;;;;;;;;;;d3406518;d3206518;
2270;3319;;p20;Podkładka skośna 20°;;;9.76;9.76;12.00;12.00;23;23.00;PLN;Łączniki kół bliźniaczych;;;64.0000;;https://static.abstore.pl/img/grasdorf/59d1e538-68b1-408d-9db4-e70cbdec9c30/l/podkladka-skosna-20-.jpg,https://static.abstore.pl/img/grasdorf/f9c8cda8-390f-4e4b-bfe1-929eef8e1b9c/l/podkladka-skosna-20-.jpg,https://static.abstore.pl/img/grasdorf/1e2b38ab-1b34-429a-9c6b-501cce97562f/l/podkladka-skosna-20-.jpg;;;;;;;;;;;71;p20;
2439;3583;3528709203456;4008024cross;Opona 400/80R24 Michelin CROSSGRIP;156A8/151D TL;;4070.00;4070.00;5006.10;5006.10;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Michelin;Michelin;;1.0000;;https://static.abstore.pl/img/grasdorf/7394e1ba-1ac6-4cf7-8f26-64388593b06b/l/opona-400%252F80r24-michelin-crossgrip.jpg;nowa;Crossgrip;Radialna;Bezdętkowa (TL);156A8/151D (4000 kg przy 40 km/h);;Opona rolnicza;14.9 (380/85, 380/90, 400/80);;24;4008024cross;4008024cross;
2873;4161;8903094009831;1306518BKT;Opona 13.0/65-18 BKT V-Line AW 702 16PR;TL (340/65-18);;620.00;620.00;762.60;762.60;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;3.0000;;https://static.abstore.pl/img/grasdorf/bfefb0ec-6e4c-47e1-b42b-82d535158eaf/l/opona-13-0%252F65-18-bkt-v-line-aw-702-16pr.jpg;nowa;AW 702;Diagonalna;Bezdętkowa (TL);;16 PR;Opona rolnicza;13.0/65 (340/65);;18;3406518BKT;1306518BKT;
2488;3719;8903094003198;12428BKT;Opona 12.4-28 BKT TR 135 8PR TT;;;690.00;690.00;848.70;848.70;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;5.0000;;https://static.abstore.pl/img/grasdorf/24f25b3c-4074-451c-9a28-6c966abc7b94/l/opona-12-4-28-bkt-tr-135-8pr-tt.jpg;nowa;TR 135;Diagonalna;Dętkowa (TT);;8 PR;Opona rolnicza;12.4 (320/85, 300/95, 320/90);;28;1762;12428BKT;
2269;314;;p30;Podkładka skośna 30°;;;9.76;9.76;12.00;12.00;23;23.00;PLN;Łączniki kół bliźniaczych;;;7.0000;;https://static.abstore.pl/img/grasdorf/dbf7d60d-1a8b-4e5c-9f38-9c5788e4782e/l/podkladka-skosna-30-.jpg,https://static.abstore.pl/img/grasdorf/fb46202b-495a-464e-a727-880a0caadec2/l/podkladka-skosna-30-.jpg;;;;;;;;;;;SR-5523;p30;Podkładka skośna 30°
3285;4870;8903635028413;6007028Aaii;Opona 600/70R28 Alliance AGRISTAR II 70;161D TL;;3560.00;3560.00;4378.80;4378.80;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Alliance;Alliance;;2.0000;;https://static.abstore.pl/img/grasdorf/63c312bd-6400-41c5-81ab-62bb57ee825b/l/opona-600%252F70r28-alliance-agristar-ii-70.jpg;nowa;AGRISTAR II 70;Radialna;Bezdętkowa (TL);161D (4625 kg przy 65 km/h);;Opona rolnicza;600/70;;28;2166;6007028Aaii;
3184;4613;3528705499969;6506034Mm;Opona 650/60R34 Michelin MACHXBIB DOT22;159D/155E TL;;10570.00;9690.00;13001.10;11918.70;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Michelin;Michelin;;2.0000;;https://static.abstore.pl/img/grasdorf/290d69db-6973-45e2-a321-ce9f7a084189/l/opona-650%252F60r34-michelin-machxbib-dot22.jpg;nowa (DOT 2022);Machxbib;Radialna;Bezdętkowa (TL);159D/155E (4375 kg przy 65 km/h);;Opona rolnicza;650/60;;34;;6506034Mm;
2268;883;;UJD;Podstawka "U" John Deere;;;10.00;10.00;12.30;12.30;23;23.00;PLN;Łączniki kół bliźniaczych;;;37.0000;;https://static.abstore.pl/img/grasdorf/c7217c84-2fb1-4eaa-83b5-622febb80de1/l/podstawka-u-john-deere.jpg;;;;;;;;;;;LA-0022;UJD;
2698;4018;3528708851382;4208046M2;Opona 420/80R46 Michelin AGRIBIB 2;151A8/151B TL (16.9R46);;7810.00;6950.00;9606.30;8548.50;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Michelin;Michelin;;2.0000;;https://static.abstore.pl/img/grasdorf/3add6271-5bcd-43a8-a22c-67302ae6f4d6/l/opona-420%252F80r46-michelin-agribib-2.png;nowa;Agribib 2;Radialna;Bezdętkowa (TL);151A8/151B (3450 kg przy 40 km/h);;Opona rolnicza;16.9 (420/85, 420/80, 440/80);;46;1826;4208046M2;
3131;4534;8903094004737;818BKTTR1446;Opona 8-18 BKT TR 144 6PR TT;;;350.00;350.00;430.50;430.50;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;1.0000;;https://static.abstore.pl/img/grasdorf/4279579d-67af-4811-820b-bc7a17d50335/l/opona-8-18-bkt-tr-144-6pr-tt.jpg;nowa;TR 144;Diagonalna;Dętkowa (TT);;6 PR;Opona rolnicza;8;;18;;818BKTTR1446;
2924;4327;8903094009732;1305516BKTAW70218;Opona 13.0/55-16 BKT AW 702 18PR TL;(340/55-16);;500.00;500.00;615.00;615.00;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;1.0000;;https://static.abstore.pl/img/grasdorf/321d5c70-0e66-4f6d-b492-983d59e11afd/l/opona-13-0%252F55-16-bkt-aw-702-18pr-tl.jpg;nowa;AW 702;Diagonalna;Bezdętkowa (TL);;18 PR;Opona rolnicza;13.0/55;;16;3405516BKTAW70218;1305516BKTAW70218;
2959;4362;8903094019489;1856515BKT;Opona 185/65-15 BKT AS 507 4PR TL;;;210.00;210.00;258.30;258.30;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;8.0000;;https://static.abstore.pl/img/grasdorf/0449abfb-c41f-4833-92aa-d2b1bcd22b8c/l/opona-185%252F65-15-bkt-as-507-4pr-tl.jpg;nowa;AS 507;Diagonalna;Bezdętkowa (TL);;4 PR;Opona rolnicza;185/65;;15;;1856515BKT;
2419;3523;8590341072566;3408538MT;Opona 340/85R38 Mitas AC 85 133A8/133B;TL (13.6R38);;2010.00;2010.00;2472.30;2472.30;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Mitas;Mitas;;3.0000;;https://static.abstore.pl/img/grasdorf/423b0ad8-fd09-4b4b-aa06-86515ee2d10b/l/opona-340%252F85r38-mitas-ac-85-133a8%252F133b.jpg;nowa;AC 85;Radialna;Bezdętkowa (TL);133A8/133B (2060 kg przy 40 km/h);;Opona rolnicza;13.6 (340/85, 340/90);;38;1647;3408538MT;
2431;3597;3528704807246;2807020Kf;Opona 280/70R20 Kleber FITKER 116A8/113B;TL;;1380.00;1380.00;1697.40;1697.40;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Kleber;Kleber;;2.0000;;https://static.abstore.pl/img/grasdorf/46f58ce7-897e-4e3a-82be-1d5aa4a226b0/l/opona-280%252F70r20-kleber-fitker-116a8%252F113b.jpg;nowa;Fitker;Radialna;Bezdętkowa (TL);116A8/113B (1250 kg przy 40 km/h);;Opona rolnicza;280/70;;20;1671;2807020Kf;
2874;4235;8903094019168;60016BKTas;Opona 6.00-16 BKT AS 504 6PR TT;;;210.00;210.00;258.30;258.30;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;2.0000;;https://static.abstore.pl/img/grasdorf/96332357-4d82-4fed-9826-7ad57097efce/l/opona-6-00-16-bkt-as-504-6pr-tt.jpg;nowa;AS 504;Diagonalna;Dętkowa (TT);;6 PR;Opona rolnicza;6;;16;1955;60016BKTas;
2435;3619;3528709417709;7106042Ma;Opona VF710/60R42 Michelin AXIOBIB 2;176D/173E TL;;19390.00;17790.00;23849.70;21881.70;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Michelin;Michelin;;4.0000;;https://static.abstore.pl/img/grasdorf/012855d2-dfc5-4a06-9f9d-3dedaf5ba653/l/opona-vf710%252F60r42-michelin-axiobib-2.jpg;nowa;Axiobib 2;Radialna;Bezdętkowa (TL);176D/173E (7100 kg przy 65 km/h);;Opona rolnicza;710/60;;42;1688;7106042Ma;
3681;3246;5900007154650;235Kabat;Opona 23x5 Kabat IMP-08 6PR TT;;;190.00;190.00;233.70;233.70;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Pozostałe;Kabat;;10.0000;;https://static.abstore.pl/img/grasdorf/b5ed0835-47fb-44c5-bdef-7532057a2914/l/opona-23x5-kabat-imp-08-6pr-tt.jpg;nowa;IMP-08;Diagonalna;Dętkowa (TT);;6 PR;Opona rolnicza;23x5;;;1494;235Kabat;
2854;3992;8903094056095;2385012BKTsp;Opona 23x8.50-12 BKT Skid Power HD 6PR;TL;;230.00;230.00;282.90;282.90;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony BKT;BKT;;8.0000;;https://static.abstore.pl/img/grasdorf/40b95c05-4766-4c6a-81ae-1c87aa831670/l/opona-23x8-50-12-bkt-skid-power-hd-6pr.jpg;nowa;Skid Power HD;Diagonalna;Bezdętkowa (TL);;6 PR;Opona przemysłowa/komunalna;23x8.50;;12;238512BKTsp;2385012BKTsp;
3497;5140;3528701127439;60055265MTRAI;Opona VF600/55R26.5 Michelin TRAILXBIB;170D TL;;7540.00;6590.00;9274.20;8105.70;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Michelin;Michelin;;6.0000;;https://static.abstore.pl/img/grasdorf/9dd1d709-cfae-4444-b0e7-e89a78f3013e/l/opona-vf600%252F55r26-5-michelin-trailxbib.jpg;nowa;TRAILXBIB;Radialna;Bezdętkowa (TL);170D (6000 kg przy 65 km/h);;Opona rolnicza;600/55;;26,5;60055265MTRAI;60055265MTRAI;
2247;795;;HD+2225;Nakrętka HD+ M22x2,5;;;130.00;130.00;159.90;159.90;23;23.00;PLN;Łączniki kół bliźniaczych;Starco;;43.0000;;https://static.abstore.pl/img/grasdorf/82cca7b4-793a-40ba-b383-16fd37b18078/l/nakretka-hd-m22x2-5.jpg,https://static.abstore.pl/img/grasdorf/c0f7dcf6-0823-47ed-b919-08e737ca92b9/l/nakretka-hd-m22x2-5.jpg,https://static.abstore.pl/img/grasdorf/e6bb2d0b-335b-4877-9f4f-d1229b85730b/l/nakretka-hd-m22x2-5.jpg;;;;;;;;;;;SR-9432;HD+2225;
