Kod producenta;ean;id JMK;Producent;Bieżnik;Sezon;Rodzaj;nazwa;szerokosc;profil;srednica;Indeks prędkości 1;Indeks Prędkości 2;Indeks Nośność 1;Indeks Nośność 2;Zamiennik;System;Magazyn 1 ilosc;Magazyn 2 ilosc;Cena detal netto;Cena klient netto;Opór toczenia;Przyczepność;Hałas Klasa;Hałas dB;Dot;Konstrukcja;Masa brutto;EPRELURL;Informacje_dodatkowe
48500300AL-IG;8903635028765;63769;Alliance;AGRISTAR II;;rolnicze;OPONA 20.8R38 (520/85R38) AGRISTAR II 155D TL Alliance;20.8;;38;D;;155;;520/85R38;;11;11;4850,00;3152,50;;;;;;R;0;;
48500301AL-IG;8903635028772;63772;Alliance;AGRISTAR II;;rolnicze;OPONA 20.8R38 (520/85R38) AGRISTAR II 169D TL Alliance;20.8;;38;D;;169;;520/85R38;;5;5;5241,00;3406,65;;;;;;R;0;;
48500301AL-IN;0440000117818;86971;Alliance;AGRISTAR II;;rolnicze;OPONA 20.8R38 (520/85R38) AGRISTAR II 169D TL Alliance;20.8;;38;D;;169;;520/85R38;;2;2;5241,00;3406,65;;;;;;R;0;;
48500325AL-IG;8903635028758;64184;Alliance;AGRISTAR II;;rolnicze;OPONA 18.4R42 (480/80R42) AGRISTAR II 151D TL Alliance;18.4;;42;D;;151;;480/80R42;;17;17;5250,00;3412,50;;;;;;R;0;;
48500334AL-IG;8903635028796;63916;Alliance;AGRISTAR II;;rolnicze;OPONA 20.8R42 (520/85R42) AGRISTAR II 169D TL Alliance;20.8;;42;D;;169;;520/85R42;;3;3;6000,00;3900,00;;;;;;R;210 kg;;
48500360AL-IG;8903635028802;63805;Alliance;AGRISTAR II;;rolnicze;OPONA 20.8R46 (520/85R46) AGRISTAR II 158D TL Alliance;20.8;;46;D;;158;;520/85R46;150;10;10;7000,00;4550,00;;;;;;R;0;;
48500361AL-IG;0440000121297;90232;Alliance;AGRISTAR II;;rolnicze;OPONA 20.8R46 (520/85R46) AGRISTAR II 169D/173A8 TL Alliance;20.8;;46;D;A8;169;173;520/85R46;150;10;10;7800,00;5070,00;;;;;;R;0;;
48504730AL-IG;8903635028482;65129;Alliance;AGRISTAR II;;rolnicze;OPONA 16.9R34 (420/85R34) AGRISTAR II 147D TL Alliance;16.9;;34;D;;147;;420/85R34;;9;9;3100,00;2015,00;;;;;;R;0;;
485710;3528704857104;66446;Michelin;X MULTI Z;;ciężarowe;OPONA 315/80R22.5 X MULTI Z 156/150L 3PMSF M+S ALL POSITION Michelin (C,B,1,72dB);315;80;22.5;L;;156/150;;;;1;1;4358,00;2396,90;C;B;1;72dB;;R;0;;
48801002AL-IG;0440000122874;91384;Alliance;488;;rolnicze;OPONA 600/50-22.5 488 164J TL Alliance;600;50;22.5;J;;164;;;;3;3;8519,00;5537,35;;;;;;-;97 kg;;
49000001AL-IG;0440000111304;86933;Alliance;AGRISTAR II;;rolnicze;OPONA 12.4R42 (320/90R42) AGRISTAR II 147D TL Alliance;12.4;;42;D;;147;;320/90R42;;5;5;3790,00;2463,50;;;;;;R;0;;
49000002AL-IG;8903635051664;86844;Alliance;AGRISTAR II;;rolnicze;OPONA 420/90R30 AGRISTAR II 147D TL Alliance;420;90;30;D;;147;;;;1;1;4259,00;2768,35;;;;;;R;0;;
495444;3528704954445;32690;Michelin;X LINE ENERGY 2D;;ciężarowe;OPONA 315/70R22.5 X LINE ENERGY 2D 154/150L 3PMSF DRIVE Michelin (A,B,1,70dB);315;70;22.5;;L;154;150;;;4;4;4660,00;2446,50;A;B;1;70dB;;R;64,5 kg;;
5001500214000;8590341005212;8380;Mitas;TD02;;rolnicze;OPONA 9.5-24 TD02 8PR TT Mitas;9.5;;24;;;8PR;;;;1;1;903,00;595,98;;;;;;-;26 kg;;
5001501432000;8590341039187;3487;Mitas;TD19;;rolnicze;OPONA 14.9-28 (380/85-28) TD19 8PR TT Mitas;14.9;;28;;;8PR;;380/85-28;;3;3;1560,00;1029,60;;;;;;-;72 kg;;
5001501743000;8590341055453;14910;Mitas;TD13;;rolnicze;OPONA 16.9-30 (420/85-30) TD13 12PR TT Mitas;16.9;;30;;;12PR;;420/85-30;;4;4;2259,00;1490,94;;;;;;-;80 kg;;
5001501744000;8590341039705;863;Mitas;TL01;;leśne;OPONA 16.9-30 (420/85-30) TL01 12PR TT Mitas;16.9;;30;;;12PR;;420/85-30;;4;4;3579,00;2362,14;;;;;;-;80 kg;;
5001502370000;8590341039651;3664;Mitas;TD19;;rolnicze;OPONA 18.4-34 (460/85-34) TD19 8PR TT Mitas;18.4;;34;;;8PR;;460/85-34;;4;4;2850,00;1881,00;;;;;;-;124 kg;;
5001502878000;8590341033390;854;Mitas;TD17;;rolnicze;OPONA 12.4-38 TD17 8PR TT Mitas;12.4;;38;;;8PR;;;;1;1;1982,00;1308,12;;;;;;-;63 kg;;
5001503183000;8590341041012;817;Mitas;TD19;;rolnicze;OPONA 18.4-38 (460/85-38) TD19 8PR TT Mitas;18.4;;38;;;8PR;;460/85-38;;2;2;2961,00;1954,26;;;;;;-;113 kg;;
5001504500000;8590341066589;14663;Mitas;AF01;;leśne;OPONA 18.4-34 (460/85-34) AF01 152A8 TT Mitas;18.4;;34;A8;;152;;460/85-34;;5;5;3842,00;2535,72;;;;;;-;124 kg;;
5001504510000;8590341066596;26401;Mitas;AF01;;leśne;OPONA 16.9-34 (420/85-34) AF01 147A8 TT Mitas;16.9;;34;A8;;147;;420/85-34;;2;2;3474,00;2292,84;;;;;;-;113 kg;;
5001504550000;8590341066664;57730;Mitas;TD13;;rolnicze;OPONA 13.6-38 (340/85-38) TD13 14PR TT Mitas;13.6;;38;;;14PR;;340/85-38;;1;1;2400,00;1584,00;;;;;;-;67 kg;;
5001504570000;0440000088224;78137;Mitas;TS04;;rolnicze;OPONA 6.00-16 TS04 8PR TT Mitas;6.00;;16;;;8PR;;;;11;11;421,00;277,86;;;;;;-;10 kg;;
5001504610000;8590341017321;51881;Mitas;TF03;;rolnicze;OPONA 6.00-16 TF03 6PR TT Mitas;6.00;;16;;;6PR;;;;10;10;375,00;247,50;;;;;;-;0;;
