id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
158243;8903094038664;BKT;AGRIMAX RT 945;320/90R42;139/139;A8/B;TL;;3000;0;99;inne;wielosezonowe 
158313;8903094045587;BKT;FL 630 SUPER STBT;650/65R26.5;174;D;TL;;6400;1;170;inne;wielosezonowe 
158760;;BKT;FARM 2000 127A8;250/80-18;127;A8;TL;8;600;1;23.5;inne;wielosezonowe 
158797;;BKT;MULTIMAX MP 540 149K;;;;;;1750;0;;inne;wielosezonowe 
158802;;BKT;TF 9090 60A8;4.00-12;68/60;A6/A8;TL;6;135;1;4;inne;wielosezonowe 
158985;8903094056576;BKT;AS 504;4.00-16;69;A6;TL;4;127;0;5;inne;wielosezonowe 
158986;8903094055807;BKT;TF 8181;6.00-18;101/94;A6/A8;TL;8;340;0;;inne;wielosezonowe 
159290;;BKT;AW 909 E;11.5/80-15.3;143;A8;TL;18;515;0;25;inne;wielosezonowe 
159304;8903094022236;BKT;AGRIMAX FORCE E;900/60R42;186;D;TL;;15500;2;469;inne;wielosezonowe 
159305;;BKT;TR 678  DUAL BEAD;600/40-22.5;169;A8;TL;20;3000;0;107.5;inne;wielosezonowe 
159422;;BKT;AGRIMAX RT 600  (NOWOŚĆ);;;;;;7280;0;;inne;wielosezonowe 
159423;;BKT;AGRIMAX RT 600 E;;;;;;3900;0;;inne;wielosezonowe 
159928;8903094032723;BKT;AGRIMAX RT 600; 1050/50R32;184/181;A8/B;TL;;15800;1;428.5;inne;wielosezonowe 
160131;8903094027460;BKT;Agrimax RT 855;250/85R20;116/116;A8/B;TL;;860;1;29;inne;wielosezonowe 
160184;8903094044887;BKT;TR 128;$5-12;;;TT;4;179;1;;inne;wielosezonowe 
160185;;BKT;TR 128;6.00-12;;;TT;6;310;1;10;inne;wielosezonowe 
160186;8903094037117;BKT;TR 171;6.00-12;74A8;;TT;6;280;2;9;inne;wielosezonowe 
160275;8903094029914;BKT;Agrimax RT 855;480/80R50;159A8/159B;/;TL;;6970;1;231.14;inne;wielosezonowe 
160358;8903094050444;BKT;AGRIMAX RT 600;620/75R26;167/B;A8/;;;7240;1;177;inne;wielosezonowe 
160501;8903094031238;BKT;Forestech (steel belted);600/55-26.5;172/165;A2/A8;TL;20;6400;1;195;leśne;wielosezonowe 
160520;8903094016808;BKT;AT 621 IND;16.9-28;152;A8;TL;12;2285;1;97;inne;wielosezonowe 
160820;8903094040018;BKT;AGRIMAX RT 955; 210/95R32;120/120;A8/B;TL;;1300;1;39;inne;wielosezonowe 
160821;8903094042555;BKT;AGRIMAX RT 955;270/95R46;143/143;A8/B;TL;;2470;1;76.70;inne;wielosezonowe 
160895;8903094056804;BKT;TF 8181;4.00-15;66;A6;TL;4;125;0;5;inne;wielosezonowe 
160960;8903094039043;BKT;AIROMAX AM27 E;445/95R25;174;F;TL;;6100;1;204;inne;wielosezonowe 
