id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
204566;8903094040544;BKT;AGRIMAX RT 855;;;;;;7200;0;;inne;wielosezonowe 
204778;;BKT;LG 306;;;;;;1267;2;;quad;wielosezonowe 
205575;;BKT;CON STAR 400;;;;;;1900;0;;inne;wielosezonowe 
205691;8903094065257;BKT;AGRIMAX V-FLECTO NRO E;;;;;;16100;2;;inne;wielosezonowe 
205692;8903094069507;BKT;AGRIMAX V-FLECTO NRO E;;;;;;8900;2;;inne;wielosezonowe 
205694;8903094069699;BKT;AGRIMAX V-FLECTO NRO E;;;;;;8100;2;;inne;wielosezonowe 
205696;8903094064601;BKT;AGRIMAX V-FLECTO NRO E;;;;;;6900;0;;inne;wielosezonowe 
205697;8903094066148;BKT;AGRIMAX V-FLECTO E;;;;;;12100;0;;inne;wielosezonowe 
205699;8903094062102;BKT;AGRIMAX V-FLECTO NRO E;;;;;;9850;2;;inne;wielosezonowe 
205701;8903094062133;BKT;AGRIMAX V-FLECTO NRO E;;;;;;5550;2;;inne;wielosezonowe 
205702;8903094069477;BKT;AGRIMAX FORCE E;;;;;;10400;2;;inne;wielosezonowe 
205707;8903094070152;BKT;AGRIMAX FACTOR (Nowość);;;;;;4960;2;;inne;wielosezonowe 
205708;8903094070169;BKT;AGRIMAX FACTOR (Nowość);;;;;;10500;2;;inne;wielosezonowe 
205837;;BKT;AT 111;;;;;;205;0;;quad;wielosezonowe 
205935;;BKT;CON STAR IND E;;;;;;2900;0;;inne;wielosezonowe 
205936;;BKT;CON STAR IND  E;;;;;;2550;2;;inne;wielosezonowe 
205937;;BKT;CON STAR IND E;;;;;;1800;0;;inne;wielosezonowe 
206102;;BKT;MP 567 IND E;;;;;;2150;0;;inne;wielosezonowe 
206103;;BKT;MP 590;;;;;;2400;0;;inne;wielosezonowe 
206312;;BKT;SIERRA MAX;;;;;;434;0;;quad;wielosezonowe 
206314;;BKT;SIERRA MAX;;;;;;363;0;;quad;wielosezonowe 
206378;8903094070633;BKT;AGRIMAX FACTOR E;;;;;;2500;0;;inne;wielosezonowe 
206379;8903094070718;BKT;AGRIMAX FACTOR E;;;;;;2950;0;;inne;wielosezonowe 
206380;8903094070725;BKT;AGRIMAX FACTOR E;;;;;;4400;0;;inne;wielosezonowe 
206383;8903094070527;BKT;AGRIMAX FACTOR E;;;;;;11330;2;;inne;wielosezonowe 
206638;;BKT;MAGLIFT STD;;;;;;1560;2;;inne;wielosezonowe 
206639;;BKT;MAGLIFT LIP;;;;;;1570;2;;inne;wielosezonowe 
206698;8903094065479;BKT;AGRIMAX RT 945;;;;;;5200;0;;inne;wielosezonowe 
206704;;BKT;EM933 (zam.10.00-20);;;;;;1575;0;;inne;wielosezonowe 
207085;8903094042036;BKT;AGRIMAX RT 657;;;;;;1050;2;;inne;wielosezonowe 
207127;8903094071012;BKT;AGRIMAX FACTOR E;;;;;;1870;0;;inne;wielosezonowe 
207129;8903094071029;BKT;AGRIMAX FACTOR E;;;;;;3400;0;;inne;wielosezonowe 
207130;8903094071036;BKT;AGRIMAX FACTOR E;;;;;;4200;2;;inne;wielosezonowe 
207131;8903094071043;BKT;AGRIMAX FACTOR E;;;;;;3690;2;;inne;wielosezonowe 
207132;8903094071050;BKT;AGRIMAX FACTOR E;;;;;;5780;2;;inne;wielosezonowe 
207134;8903094059942;BKT;Agrimax FORCE;;;;;;7600;2;;inne;wielosezonowe 
207307;8903094021772;BKT;AGRIMAX RT 855;;;;;;3400;0;;inne;wielosezonowe 
207414;;BKT;CON STAR IND;;;;;;1330;0;;inne;wielosezonowe 
207523;8903094052233;BKT;MULTIMAX MP 527;;;;;;4800;2;;inne;wielosezonowe 
207619;;BKT;CON STAR IND;;;;;;1300;0;;inne;wielosezonowe 
207658;8903094064717;BKT;AGRIMAXFORCE  IF CFO;;;;;;7700;2;;inne;wielosezonowe 
207662;8903094057252;BKT;RIDEMAX IT696 IND E;;;;;;2500;0;;inne;wielosezonowe 
207663;8903094048960;BKT;RIDEMAX IT696 IND E;;;;;;1770;2;;inne;wielosezonowe 
207665;;BKT;LG306 E;;;;;;370;0;;quad;wielosezonowe 
207666;;BKT;LG306 E;;;;;;575;0;;quad;wielosezonowe 
207667;8903094063857;BKT;AGRIMAX RT945 E;;;;;;3770;0;;inne;wielosezonowe 
207669;8903094065646;BKT;AGRIMAX V-FLECTO E;;;;;;9550;2;;inne;wielosezonowe 
207833;;BKT;PAC MASTER SMOOTH;;;;;;910;0;;inne;wielosezonowe 
207834;;BKT;RIDEMAX FL 693 STBT;;;;;;3400;0;;inne;wielosezonowe 
207958;;BKT;AT621;;;;;;550;0;;inne;wielosezonowe 
208925;;BKT;EARTHMAX SR33;;;;;;2300;2;;inne;wielosezonowe 
208926;;BKT;EARTHMAX SR33;;;;;;3100;2;;inne;wielosezonowe 
209732;8903094062423;BKT;AGRIMAX RT 600;;;;;;11930;2;;inne;wielosezonowe 
210284;;BKT;MAGLIFT STD (NIEBRUDZĄCA);;;;;;290;2;;inne;wielosezonowe 
210352;8903094063710;BKT;AGRIMAX V-FLECTO;;;;;;10500;0;;inne;wielosezonowe 
210353;8903094070930;BKT;AGRIMAX V-FLECTO;;;;;;6100;2;;inne;wielosezonowe 
210354;;BKT;MP567 IMP E;;;;;;850;0;;inne;wielosezonowe 
210494;;BKT;RIDEMAX IT 696;;;;;;5500;2;;inne;wielosezonowe 
210551;8903094039210;BKT;AGRIMAX RT 855;;;;;;500;2;;inne;wielosezonowe 
210697;;BKT;Earthmax SR 35;;;;;;11000;0;;inne;wielosezonowe 
211101;;BKT;AGRIMAX FORCE;;;;;;16200;0;;inne;wielosezonowe 
211121;;BKT;RIDEMAX FL 693 M STBT;;;;;;8760;0;;inne;wielosezonowe 
211510;;BKT;PAC MASTER E;;;;;;1050;0;;inne;wielosezonowe 
211761;;BKT;LG 306;;;;;;640;2;;quad;wielosezonowe 
211780;;BKT;PAC MASTER;;;;;;516;2;;inne;wielosezonowe 
211938;8903094062126;BKT;AGRIMAX V-FLECTO E;;;;;;4580;0;;inne;wielosezonowe 
212317;;BKT;MULTIMAX MP 527;;;;;;3300;0;;inne;wielosezonowe 
212811;;BKT;ROCK GRIP;;;;;;12390;0;;inne;wielosezonowe 
213723;;BKT;AGRIMAX V-FLECTO E;;;;;;8800;0;;inne;wielosezonowe 
217020;;BKT;AGRIMAX FACTOR;;;;;;2150;2;;inne;wielosezonowe 
217509;;BKT;GF 305 CLASSIC GOLF;;;;;;244;0;;quad;wielosezonowe 
